Age,Sex,Education,Marital_Status,Job_Position,Shifts,Working_days/week,Working_hours/week_excbreak,Break_timeHrs,Job_Experience,Travelling_Time,SalaryPer Annum,Family_Type,Family_Members,Dependent_Members,Earning_Members,Felt_stress,Stress_past,S1,S2,S3,S4,S5,S6,S7,S8,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,How stress shows its ill effect in job performance?,Health_Problems,Physical_mental_problems,Coping_Stress,CopingMethods_beneficial,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Organisation_Stress,Beneficial_Org,Company_Programs,Members
22,Female,Graduate,Single,Trainee,Day only,5,9,1,1,1,1,1,3,0,3,1,,1,1,2,2,3,4,4,4,3,4,4,4,4,3,4,4,4,4,5,4,4,5,3,Can't complete your work within specific time,None,Under/Over Eating;Frequent crying,0,,,,,,,,,,,,,,0,,Employee counselling;Motivational lectures,Sheetal Gorde
22,Female,Post Graduate,Single,Associate,Day only,5,9,1,1,3,3,1,6,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Anshika Yadav
22,Female,Graduate,Single,Associate,Day only,5,9,1,1,4,1,1,5,3,2,1,,3,4,4,4,4,3,1,4,3,4,3,3,5,4,3,4,3,5,3,5,3,2,5,Lack of concentration,Headache;Tension;Anxiety;Depression;Insecurity;High/Low Blood Pressure;Restlessness;Back pain,Frequent hospitalization;Frequent crying;Poor performance in job,0,,,,,,,,,,,,,,0,,Effective training and development program,Sheetal Gorde
46,Male,Post Graduate,Married,Manager,Day only,6,8,1,5,1,4,1,4,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program,Sheetal Gorde
38,Male,Post Graduate,Married,Manager,Day only,6,10,1,3,2,4,1,3,2,1,1,,2,3,3,3,3,3,3,3,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,Low morale,Stomach disorder;Depression;High/Low Blood Pressure,Withdrawal from relationship,1,1,3,4,3,3,4,4,3,4,4,4,4,4,0,,Employee counselling,Sheetal Gorde
35,Male,Graduate,Married,Manager,Day only,6,10,1,3,2,3,1,3,2,1,1,,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Low morale,None,Violence,0,,,,,,,,,,,,,,0,,Motivational lectures,Sheetal Gorde
39,Male,Graduate,Married,Senior Associate,Day or Night,6,10,1,3,1,3,2,5,4,1,1,,1,2,3,4,3,3,2,4,2,2,4,4,3,2,5,4,4,5,4,4,1,3,4,Low morale,Headache;Tension;Insecurity;High/Low Blood Pressure;Restlessness,Under/Over Eating;Frequent crying;Suicidal Thoughts;Violence,0,,,,,,,,,,,,,,0,,Health club,Sheetal Gorde
32,Male,Post Graduate,Married,Manager,Day or Night,5,8,1,2,1,3,1,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Motivational lectures,Raj Shah
30,Male,Post Graduate,Married,Team Leader,Day or Night,6,10,1,2,1,3,2,6,3,3,1,,4,5,5,3,4,5,1,2,5,1,5,1,5,1,5,1,5,5,5,5,1,1,5,Low morale,Tension;Depression;Restlessness,Under/Over Eating;Poor performance in job,0,,,,,,,,,,,,,,0,,Employee counselling,Raj Shah
38,Male,Post Graduate,Married,Manager,Day only,5,8,1,4,3,3,1,4,2,2,1,,3,2,3,4,3,4,1,2,1,4,5,5,3,3,5,4,3,4,2,5,3,3,3,Losing patience while dealing with customers or clients,Stomach disorder;Insomnia;Restlessness,Under/Over Eating,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Health club,Sheetal Gorde
31,Male,Post Graduate,Married,Manager,Day only,6,8,1,2,1,3,2,5,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Health club,Sheetal Gorde
36,Male,Graduate,Married,Manager,Day only,6,10,1,4,3,3,1,3,2,1,0,1,1,1,3,3,3,1,3,4,1,1,3,3,2,2,2,2,2,3,3,2,2,2,2,Committing more errors,Tension,Others,1,1,3,4,4,4,4,4,4,4,4,4,4,3,1,1,Employee counselling;Effective training and development program,Aishwarya Ashokan
39,Male,Graduate,Married,Manager,Day only,5,10,1,4,2,4,2,6,5,1,1,,1,1,3,2,3,3,3,4,2,2,3,3,4,4,3,3,2,2,3,2,2,2,3,Lack of concentration,Headache;Tension;Anxiety;Restlessness,None,0,,,,,,,,,,,,,,1,1,Effective training and development program,Sheetal Gorde
